Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Felipe Vazquez,Pirates,11.7,2.5,4.68,0.57,0.32,0.07,0.25,0.2,1.02,0.288,81.70%,49,55,68,2.02,2.36,-0.35,2.92,2.75,12076
Chris Sale,Red Sox,13.21,1.97,6.69,1.02,0.37,0.06,0.31,0.202,0.97,0.298,76.00%,66,59,60,3.08,2.57,0.51,2.63,2.61,10603
Chad Green,Yankees,12.43,2.15,5.78,0.97,0.35,0.06,0.29,0.209,1.01,0.301,79.80%,64,59,71,2.82,2.66,0.16,3.1,2.56,15552
Max Scherzer,Nationals,12.29,2.11,5.83,0.96,0.35,0.06,0.29,0.194,0.94,0.275,80.30%,61,62,72,2.64,2.68,-0.04,3.08,2.86,3137
Jacob deGrom,Mets,11.03,2.15,5.12,0.82,0.31,0.06,0.25,0.211,1.02,0.289,79.90%,63,64,69,2.53,2.7,-0.17,2.97,3.17,10954
Josh Hader,Brewers,15.35,3.17,4.85,1.23,0.45,0.09,0.35,0.145,0.85,0.228,86.90%,57,63,59,2.42,2.74,-0.32,2.54,2,14212
Corey Kluber,Indians,10.4,1.68,6.18,0.99,0.29,0.05,0.25,0.215,0.99,0.281,77.70%,62,67,69,2.83,2.92,-0.08,2.97,3.11,2429
Kenley Jansen,Dodgers,12.01,1.77,6.78,1.2,0.34,0.05,0.29,0.196,0.93,0.263,81.70%,66,71,71,2.66,2.94,-0.28,3.04,2.52,3096
Luis Severino,Yankees,10.6,2.34,4.53,0.91,0.29,0.06,0.23,0.22,1.09,0.292,75.50%,73,68,72,3.13,2.99,0.14,3.1,3.28,15890
Brad Hand,- - -,12.68,2.85,4.45,0.99,0.34,0.08,0.27,0.207,1.08,0.302,82.70%,62,71,71,2.67,3.03,-0.35,3.07,2.68,9111
Noah Syndergaard,Mets,9.2,2.17,4.25,0.78,0.25,0.06,0.19,0.249,1.21,0.318,71.30%,91,73,82,3.67,3.1,0.58,3.51,3.73,11762
Walker Buehler,Dodgers,10.34,2.24,4.61,0.93,0.29,0.06,0.22,0.211,1.04,0.276,73.80%,77,74,77,3.12,3.1,0.02,3.32,3.45,19374
Gerrit Cole,- - -,11.67,2.44,4.78,1.15,0.32,0.07,0.26,0.212,1.06,0.288,78.10%,75,73,71,3.2,3.14,0.07,3.1,3.16,13125
Stephen Strasburg,Nationals,10.69,2.47,4.33,0.96,0.29,0.07,0.23,0.214,1.07,0.283,76.80%,72,72,75,3.15,3.16,-0.01,3.23,3.41,10131
Archie Bradley,Diamondbacks,10.03,3.2,3.13,0.75,0.27,0.09,0.18,0.225,1.21,0.298,80.20%,69,76,84,2.95,3.24,-0.28,3.61,3.49,12918
James Paxton,- - -,11.07,2.7,4.1,1.11,0.30,0.07,0.23,0.228,1.16,0.304,75.90%,82,74,78,3.54,3.26,0.29,3.43,3.45,11828
Charlie Morton,- - -,10.69,3.03,3.53,0.83,0.29,0.08,0.21,0.216,1.14,0.292,76.00%,76,76,78,3.24,3.26,-0.02,3.41,3.58,4676
Carlos Carrasco,Indians,10.54,2,5.27,1.14,0.29,0.06,0.23,0.243,1.15,0.318,75.90%,80,74,72,3.66,3.26,0.4,3.15,3.25,6632
Shane Bieber,Indians,10.31,1.72,5.98,1.2,0.28,0.05,0.23,0.248,1.15,0.319,74.10%,80,74,73,3.72,3.29,0.43,3.26,3.39,19427
Justin Verlander,- - -,11.32,2.11,5.36,1.27,0.32,0.06,0.26,0.196,0.95,0.255,83.80%,65,75,78,2.81,3.29,-0.48,3.45,3.18,8700
Blake Treinen,- - -,9.77,3.48,2.81,0.71,0.26,0.09,0.17,0.225,1.24,0.295,77.50%,69,76,80,3.02,3.29,-0.27,3.53,3.54,12572
Lance McCullers Jr.,Astros,9.98,3.28,3.04,0.73,0.26,0.09,0.18,0.23,1.23,0.305,68.40%,97,78,77,4.04,3.31,0.74,3.3,3.53,14120
Seth Lugo,Mets,9.3,2.2,4.23,0.96,0.25,0.06,0.19,0.232,1.13,0.291,72.50%,85,79,86,3.41,3.32,0.09,3.66,3.54,12447
Mike Clevinger,Indians,10.31,3.3,3.13,0.88,0.28,0.09,0.19,0.215,1.15,0.285,79.80%,65,76,85,2.96,3.32,-0.36,3.69,3.79,12808
Patrick Corbin,- - -,10.07,2.72,3.7,0.99,0.27,0.07,0.20,0.237,1.21,0.307,75.40%,79,77,78,3.47,3.33,0.14,3.35,3.63,9323
Brandon Woodruff,Brewers,9.65,2.52,3.83,0.91,0.26,0.07,0.19,0.239,1.19,0.308,73.30%,89,77,84,3.87,3.35,0.52,3.64,3.76,16162
Mike Soroka,Braves,7.32,2.16,3.4,0.67,0.20,0.06,0.14,0.241,1.15,0.289,77.40%,64,78,87,2.79,3.38,-0.59,3.82,4.26,18383
Clayton Kershaw,Dodgers,9.55,1.75,5.46,1.19,0.27,0.05,0.22,0.218,1.01,0.267,83.30%,66,80,74,2.69,3.38,-0.69,3.18,3.42,2036
Zack Greinke,- - -,8.74,1.72,5.09,1.08,0.25,0.05,0.20,0.227,1.04,0.276,77.10%,72,80,82,3.11,3.41,-0.3,3.51,3.68,1943
Blake Snell,Rays,10.51,3.52,2.99,0.97,0.29,0.10,0.19,0.211,1.16,0.279,77.30%,74,81,83,3.17,3.43,-0.26,3.63,3.8,13543
Aaron Nola,Phillies,9.84,2.89,3.41,0.96,0.27,0.08,0.19,0.221,1.14,0.284,78.60%,75,78,81,3.23,3.44,-0.21,3.47,3.72,16149
Yusmeiro Petit,- - -,8.35,1.55,5.39,1.11,0.24,0.05,0.20,0.205,0.93,0.241,78.90%,66,80,94,2.83,3.45,-0.63,4.14,3.56,4020
Ross Stripling,Dodgers,9.5,1.91,4.97,1.22,0.26,0.05,0.21,0.248,1.17,0.307,79.50%,83,84,77,3.36,3.5,-0.15,3.27,3.39,13273
Jameson Taillon,Pirates,8.3,2.49,3.34,0.87,0.22,0.07,0.15,0.257,1.28,0.315,73.60%,91,84,89,3.75,3.51,0.25,3.74,4.01,11674
