Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,playerid
Alex Claudio,- - -,0.38,0.63,0.48,0.66,0.89,0.78,0.41,0.63,0.11,12890
Blake Treinen,- - -,0.38,0.68,0.51,0.54,0.83,0.71,0.43,0.59,0.15,12572
Masahiro Tanaka,Yankees,0.37,0.70,0.51,0.59,0.85,0.74,0.41,0.67,0.13,15764
Kenley Jansen,Dodgers,0.37,0.70,0.53,0.59,0.77,0.70,0.48,0.69,0.16,3096
Jared Hughes,- - -,0.37,0.68,0.48,0.66,0.88,0.77,0.37,0.62,0.11,9325
Jacob deGrom,Mets,0.36,0.71,0.51,0.59,0.80,0.72,0.44,0.65,0.15,10954
Miles Mikolas,Cardinals,0.36,0.67,0.51,0.69,0.88,0.81,0.46,0.68,0.10,9803
Chris Sale,Red Sox,0.36,0.64,0.49,0.56,0.78,0.69,0.45,0.67,0.15,10603
Alex Wood,- - -,0.36,0.66,0.48,0.64,0.87,0.77,0.41,0.68,0.11,13781
Max Scherzer,Nationals,0.35,0.70,0.52,0.53,0.78,0.69,0.47,0.67,0.16,3137
Patrick Corbin,- - -,0.35,0.66,0.47,0.54,0.86,0.71,0.38,0.63,0.14,9323
Michael Pineda,- - -,0.35,0.71,0.51,0.59,0.87,0.76,0.45,0.65,0.12,5372
Corey Kluber,Indians,0.35,0.65,0.48,0.52,0.86,0.72,0.44,0.64,0.14,2429
Domingo German,Yankees,0.35,0.67,0.48,0.58,0.82,0.72,0.42,0.62,0.14,17149
Joe Musgrove,- - -,0.35,0.69,0.52,0.60,0.86,0.77,0.48,0.66,0.12,12970
Noah Syndergaard,Mets,0.35,0.71,0.50,0.58,0.84,0.74,0.43,0.62,0.13,11762
Stephen Strasburg,Nationals,0.35,0.64,0.48,0.57,0.84,0.73,0.44,0.63,0.13,10131
Zack Greinke,- - -,0.35,0.63,0.46,0.65,0.85,0.76,0.39,0.66,0.11,1943
Justin Verlander,- - -,0.35,0.70,0.51,0.59,0.81,0.73,0.46,0.65,0.14,8700
Josh Hader,Brewers,0.35,0.75,0.54,0.54,0.68,0.63,0.47,0.61,0.20,14212
Carlos Carrasco,Indians,0.34,0.69,0.50,0.48,0.85,0.71,0.44,0.64,0.15,6632
