Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Total,Charlie Blackmon,COL,728,0.06043956,0.178571428,0.338461538,0.31081081,0.368131868,0.533033033,0.901164901,0.222222223,0.345238095,126.8992785,38.5250793,0.381000333,122.45157,7859
Total,Eric Hosmer,2 Tms,618,0.066343042,0.168284789,0.394230769,0.228621291,0.279935275,0.345549738,0.625485013,0.116928447,0.260303687,50.68829579,-24.10790347,0.271226916,66.81748523,3516
Total,Cody Bellinger,LAD,611,0.112929623,0.219312602,0.514925373,0.258426966,0.343698854,0.511235955,0.854934809,0.252808989,0.276422764,94.33682067,19.99392128,0.356020915,124.341658,15998
Total,Joey Votto,CIN,590,0.150847457,0.196610169,0.767241379,0.264887063,0.389830508,0.410677618,0.800508126,0.145790555,0.31652661,88.3314124,16.79141306,0.352229866,115.6935528,4314
Total,Christian Yelich,2 Tms,567,0.093474426,0.19047619,0.49074074,0.294234592,0.37037037,0.514910536,0.885280906,0.220675944,0.330645161,94.82621702,25.86091759,0.372996658,132.2456546,11477
Total,Bryce Harper,2 Tms,560,0.125,0.248214285,0.503597122,0.277083333,0.371428571,0.508333333,0.879761904,0.23125,0.332288401,93.25505366,25.22905429,0.371539843,129.2879969,11579
Total,Rougned Odor,TEX,553,0.075949367,0.26039783,0.291666666,0.214141414,0.292196007,0.371717171,0.663913178,0.157575757,0.263473053,53.74728977,-13.44940966,0.289241019,69.40054537,12282
Total,Freddie Freeman,ATL,552,0.086956521,0.224637681,0.387096774,0.283095723,0.356884057,0.49898167,0.855865727,0.215885947,0.328488372,86.79711791,19.9783186,0.36177898,123.6320293,5361
Total,Kole Calhoun,LAA,551,0.11615245,0.205081669,0.566371681,0.214285714,0.313974591,0.365546218,0.679520809,0.151260504,0.240687679,57.94365625,-9.139243247,0.298671115,87.05835008,11200
Total,Shin-Soo Choo,TEX,545,0.102752293,0.244036697,0.421052631,0.240938166,0.34375,0.339019189,0.682769189,0.098081023,0.31707317,61.27434199,-4.867157399,0.307417058,82.03212596,3174
Total,Kyle Seager,SEA,543,0.071823204,0.20810313,0.345132743,0.257668711,0.322283609,0.466257668,0.788541277,0.208588957,0.283707865,73.48445047,7.769751123,0.334578797,113.1566116,9785
Total,Mike Moustakas,2 Tms,536,0.050373134,0.149253731,0.3375,0.268145161,0.313432835,0.471774193,0.785207028,0.203629032,0.270886075,70.94342183,5.861022414,0.330785526,103.6914142,4892
Total,Eddie Rosario,MIN,529,0.037807183,0.172022684,0.219780219,0.281437125,0.30608365,0.417165668,0.723249318,0.135728543,0.321782178,59.39285018,-4.820249258,0.307675175,89.98762732,12155
Total,Nick Markakis,ATL,523,0.078393881,0.143403441,0.546666666,0.270042194,0.330783938,0.396624472,0.72740841,0.126582278,0.305555555,61.41424566,-1.551453583,0.314589497,92.42451721,5930
Total,Brandon Crawford,SFG,514,0.064202334,0.184824902,0.347368421,0.252118644,0.30544747,0.379237288,0.684684758,0.127118644,0.293800539,51.79928138,-10.39931799,0.294495616,84.23284756,5343
Total,Anthony Rizzo,CHC,495,0.086868686,0.155555555,0.558441558,0.252955082,0.353535353,0.437352245,0.790887598,0.184397163,0.263636363,70.00338137,9.883881876,0.341711167,110.8937365,3473
Total,Michael Conforto,NYM,493,0.0831643,0.304259634,0.273333333,0.237556561,0.314401622,0.432126696,0.746528318,0.194570135,0.306273062,60.98483095,1.07113149,0.321231675,103.1234547,16376
Total,Alex Gordon,KCR,483,0.089026915,0.19047619,0.467391304,0.222222222,0.324324324,0.29468599,0.619010314,0.072463768,0.274143302,44.12846103,-14.62823848,0.281963668,71.58986435,5209
Total,Andrew Benintendi,BOS,483,0.103519668,0.219461697,0.471698113,0.251184834,0.332640332,0.381516587,0.714156919,0.130331753,0.308681672,56.36952134,-2.44017819,0.312041432,89.43589744,17901
Total,Michael Brantley,2 Tms,481,0.056133056,0.13097713,0.428571428,0.281818181,0.333333333,0.375,0.708333333,0.093181819,0.310991957,54.9871514,-3.532748107,0.30946922,90.93748488,4106
Total,Dee Gordon,2 Tms,469,0.01066098,0.130063965,0.081967213,0.287640449,0.309012875,0.33483146,0.643844335,0.047191011,0.327319587,42.05878308,-14.60631635,0.28089803,75.5210894,8203
Total,Max Kepler,MIN,467,0.074946466,0.214132762,0.35,0.233890214,0.302575107,0.403341288,0.705916395,0.169451074,0.267100977,50.95391964,-5.79037987,0.303554513,86.97088713,12144
Total,Brett Gardner,NYY,465,0.08172043,0.202150537,0.404255319,0.220095693,0.292841648,0.33014354,0.622985188,0.110047847,0.261146496,39.60754533,-16.8739542,0.275500329,69.29763318,9927
Total,Jason Kipnis,CLE,464,0.073275862,0.183189655,0.4,0.226506024,0.287581699,0.34939759,0.636979289,0.122891566,0.257668711,40.27480615,-16.14879338,0.277187434,66.15220022,9776
Total,Brandon Belt,SFG,463,0.114470842,0.244060475,0.469026548,0.218045112,0.319654427,0.348370927,0.668025354,0.130325815,0.278571428,47.80009815,-8.49060138,0.296553973,84.98895411,10264
Total,David Peralta,ARI,462,0.067099567,0.216450216,0.31,0.25,0.316017316,0.385714285,0.701731601,0.135714285,0.300970873,50.96602718,-4.924772255,0.305410812,85.10402131,2136
Total,Nomar Mazara,TEX,455,0.039560439,0.25054945,0.157894736,0.23076923,0.27032967,0.384615384,0.654945054,0.153846154,0.280528052,40.5717978,-14.49770164,0.280445371,63.66775207,14553
Total,Jackie Bradley Jr.,BOS,452,0.079646017,0.287610619,0.276923076,0.223057644,0.308203991,0.345864661,0.654068652,0.122807017,0.305343511,43.74289089,-11.45290873,0.288489202,73.35032337,12984
Total,Matt Olson,OAK,437,0.075514874,0.23340961,0.323529411,0.233333333,0.311212814,0.423076923,0.734289737,0.18974359,0.265682656,52.27309929,-0.634200115,0.315739897,100.3178867,14344
Total,Matt Carpenter,STL,436,0.155963302,0.236238532,0.660194174,0.219101123,0.347926267,0.390449438,0.738375705,0.171348315,0.265306122,55.08907954,2.508680138,0.32528967,103.8539775,8090
Total,Robinson Cano,2 Tms,434,0.069124423,0.161290322,0.428571428,0.244897959,0.30875576,0.346938775,0.655694535,0.102040816,0.276729559,41.25151533,-11.50108428,0.288573314,81.61076383,3269
Total,Corey Seager,LAD,415,0.074698795,0.226506024,0.329787234,0.277333333,0.339759036,0.456,0.795759036,0.178666667,0.330855018,57.93872166,6.810221781,0.339388681,112.2157199,13624
Total,Joe Panik,2 Tms,410,0.07804878,0.087804878,0.888888888,0.259668508,0.324257425,0.32596685,0.650224275,0.066298342,0.275229357,39.60145164,-10.23754798,0.287819917,79.09666574,11936
Total,Didi Gregorius,NYY,409,0.053789731,0.134474327,0.4,0.257978723,0.304668304,0.409574468,0.714242772,0.151595745,0.266881028,45.16719962,-4.265899878,0.306179247,90.34581772,6012
Total,Rafael Devers,BOS,401,0.049875311,0.224438902,0.222222222,0.27393617,0.316708229,0.433510638,0.750218867,0.159574468,0.33090909,49.7630723,0.630172623,0.319929037,94.88104946,17350
