Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Bartolo Colon","2 Tms",4,0,0.5,0,0,0,0,0,0,0,-0.577458901914909,-1.0550588952630306,0,-100,375
"Total","Victor Martinez","DET",234,0.055555555,0.111111111,0.5,0.255707762,0.294871794,0.365296803,0.660168597,0.109589041,0.264550264,21.650294714699868,-6.209304853249902,0.2854638524321527,75.30045852713607,393
"Total","Carlos Beltran","HOU",127,0.047244094,0.267716535,0.176470588,0.184873949,0.228346456,0.277310924,0.50565738,0.092436975,0.247058823,4.814797846751992,-10.666502112371143,0.22137409448623657,34.04435086337651,589
"Total","Brandon Barnes","CLE",8,0.125,0.375,0.333333333,0.142857142,0.25,0.571428571,0.821428571,0.428571429,0,1.1006068453135267,0.1654068693461194,0.3400447592139244,110.9346754643149,629
"Total","Adrian Beltre","TEX",229,0.104803493,0.179039301,0.585365853,0.299492385,0.375545851,0.472081218,0.847627069,0.172588833,0.337662337,35.61544097233696,8.430341437646584,0.36009485973660643,118.7928099854239,639
"Total","Todd Frazier","3 Tms",410,0.11707317,0.229268292,0.510638297,0.223796033,0.324390243,0.458923512,0.783313755,0.235127479,0.234309623,55.11426425667336,5.21226464154055,0.3325852139654836,109.91199611109529,785
"Total","Brandon Phillips","3 Tms",141,0.04964539,0.141843971,0.35,0.276923076,0.321428571,0.369230769,0.69065934,0.092307693,0.305555555,14.673185453788012,-2.4497144659602936,0.29918637978944845,80.65933971125936,791
"Total","Bronson Arroyo","CIN",6,0,0.333333333,0,0,0,0,0,0,0,-0.8934121338909092,-1.6248121319597186,0,-100,978
"Total","Marco Estrada","TOR",1,0,1,0,0,0,0,0,0,0,-0.13982742864230296,-0.25672742563822887,0,-100,1118
"Total","Andrew Romine","2 Tms",113,0.03539823,0.274336283,0.129032258,0.25,0.276785714,0.314814814,0.591600528,0.064814814,0.342105263,8.033320202624443,-5.526379645669815,0.25889167934656143,58.63270896181534,1159
"Total","Albert Pujols","LAA",456,0.083333333,0.144736842,0.575757575,0.234299516,0.296052631,0.417874396,0.713927027,0.18357488,0.234234234,49.52614704734833,-6.164252591960125,0.3023751767984046,89.41748471128525,1177
"Total","R.A. Dickey","ATL",12,0,0.333333333,0,0.1,0.1,0.1,0.2,0,0.166666666,-0.8990572688175824,-2.3618572649552014,0.08766688108444214,-59.27193338475797,1245
"Total","Jayson Werth","WSN",55,0.163636363,0.181818181,0.9,0.239130434,0.363636363,0.456521739,0.820158102,0.217391305,0.264705882,7.98271337193293,1.2782133896355095,0.34843964709175956,110.91134092377922,1327
"Total","Blake Wood","CIN",1,0,1,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,1345
"Total","Wilson Ramos","3 Tms",302,0.086092715,0.15231788,0.565217391,0.328413284,0.3820598,0.523985239,0.906045039,0.195571955,0.351851851,52.09946728495605,15.363667607286049,0.3789308416321623,141.20234666861896,1433
"Total","John Lackey","CHC",13,0.076923076,0.384615384,0.2,0.09090909,0.166666666,0.09090909,0.257575756,0,0.166666666,-0.5007303044874102,-2.0854303003031642,0.13080523908138275,-29.58739112353408,1507
"Total","Jose Reyes","NYM",201,0.084577114,0.154228855,0.548387096,0.243093922,0.315,0.458563535,0.773563535,0.215469613,0.253521126,25.892126507546536,1.7202267492672134,0.3282981356184686,106.87417511732116,1736
"Total","Jhonny Peralta","STL",25,0.04,0.32,0.125,0.125,0.16,0.125,0.285,0,0.1875,-0.9183272139141864,-3.9658272058675594,0.13292001962661742,-25.2123724776821,1738
"Total","Miguel Cabrera","DET",260,0.142307692,0.215384615,0.660714285,0.324324324,0.419230769,0.504504504,0.923735273,0.18018018,0.40625,48.00457476158115,16.04657486904833,0.3919196279596262,146.57955857419824,1744
"Total","Edwin Jackson","2 Tms",4,0,0.25,0,0,0,0,0,0,0,-0.577458901914909,-1.0550588952630306,0,-100,1841
"Total","Rickie Weeks Jr.","TBR",63,0.174603174,0.428571428,0.407407407,0.176470588,0.333333333,0.274509803,0.607843136,0.098039215,0.347826086,5.851080927016032,-1.8286190527064676,0.28650458275325713,78.76163810316291,1849
"Total","Matt Holliday","2 Tms",141,0.156028368,0.255319148,0.611111111,0.279661016,0.390070921,0.457627118,0.847698039,0.177966102,0.35064935,22.739891903477112,5.751992056148447,0.368161160472437,127.29907102274262,1873
"Total","Jose Bautista","4 Tms",293,0.153583617,0.259385665,0.592105263,0.1875,0.327645051,0.333333333,0.660978384,0.145833333,0.23899371,29.542054889326526,-5.514644662315414,0.29585132146703785,83.8344813863756,1887
"Total","Andres Blanco","PHI",42,0.023809523,0.238095238,0.1,0.195121951,0.214285714,0.31707317,0.531358884,0.121951219,0.233333333,1.7803532711896206,-3.3394467152920457,0.22668000771885827,32.734660635990494,1907
"Total","Zack Greinke","ARI",64,0.046875,0.21875,0.214285714,0.344827586,0.37704918,0.551724137,0.928773317,0.206896551,0.428571428,11.76336229514586,3.9677623502563133,0.39069243532712344,140.17860963841315,1943
"Total","Ivan Nova","2 Tms",41,0,0.634146341,0,0.027027027,0.027027027,0.027027027,0.054054054,0,0.09090909,-5.022249965292659,-9.955149909776893,0.02369375164444382,-88.7466182101372,1994
"Total","Edwin Encarnacion","3 Tms",495,0.177777777,0.202020202,0.88,0.238095238,0.380566801,0.471177944,0.851744745,0.233082706,0.248175182,78.96843808702738,18.845938554029775,0.36352539294567265,126.37464064217514,2151
"Total","Ryan Raburn","WSN",28,0.035714285,0.285714285,0.125,0.185185185,0.214285714,0.185185185,0.399470899,0,0.263157894,0.1145783840807526,-3.298621606907025,0.18129778972693852,1.1862413240712104,2218
"Total","Adam Wainwright","STL",27,0.037037037,0.37037037,0.1,0.12,0.153846153,0.16,0.313846153,0.04,0.2,-0.84356193407604,-4.188861930511682,0.1408845025759477,-19.542509745538375,2233
"Total","Hector Rondon","CHC",1,0,0,0,1,1,1,2,0,1,0.5909038101550451,0.4690038104769102,0.8766688108444214,460.05629233070124,2391
"Total","Carlos Santana","2 Tms",652,0.136503067,0.110429447,1.236111111,0.277777777,0.378834355,0.476702508,0.855536863,0.198924731,0.276086956,104.92081644170497,25.434016978075256,0.36468212440286996,125.70117283802713,2396
"Total","Corey Kluber","CLE",5,0,0.4,0,0.2,0.2,0.2,0.4,0,0.333333333,0.011720402119045292,-0.5917795915628623,0.17533376216888427,9.9842724422993,2429
"Total","Darwin Barney","TOR",139,0.100719424,0.208633093,0.48275862,0.243902439,0.323741007,0.284552845,0.608293852,0.040650406,0.308510638,11.824867252600686,-5.119232702660067,0.27725766845744293,69.20248053843375,2430
"Total","Nelson Cruz","2 Tms",482,0.161825726,0.203319502,0.795918367,0.269922879,0.401247401,0.580976863,0.982224264,0.311053984,0.269230769,91.41276406183763,32.946964581160984,0.3987582804578723,155.66448173363443,2434
"Total","Lance Lynn","3 Tms",19,0.052631578,0.526315789,0.1,0,0.111111111,0,0.111111111,0,0,-1.5492603913697052,-3.868360383883362,0.07864516973495483,-58.33000978637013,2520
"Total","Pete Kozma","3 Tms",42,0.047619047,0.19047619,0.25,0.175,0.214285714,0.3,0.514285714,0.125,0.193548387,1.7308761059652191,-3.293923829554476,0.22309430014519466,29.337559213228456,2539
"Total","Peter Bourjos","3 Tms",161,0.04968944,0.273291925,0.181818181,0.217105263,0.254658385,0.375,0.629658385,0.157894737,0.276190476,12.450390064977723,-7.169509841240328,0.26779447579235766,65.86559231046704,2578
"Total","Carlos Ruiz","SEA",37,0.162162162,0.216216216,0.75,0.172413793,0.351351351,0.344827586,0.696178937,0.172413793,0.2,4.449086770993401,-0.061213217097591324,0.3189395182841533,101.28835402910698,2579
"Total","Jhoulys Chacin","2 Tms",44,0.022727272,0.318181818,0.071428571,0.194444444,0.216216216,0.25,0.466216216,0.055555556,0.318181818,1.2865201641655823,-4.008079778697406,0.20427136968921972,26.889860537101445,2608
"Total","Zack Cozart","2 Tms",226,0.101769911,0.128318584,0.793103448,0.244791666,0.327433628,0.432291666,0.759725294,0.1875,0.245398773,28.255738339202427,0.8113385427761313,0.3234770232069809,98.18421575719275,2616
"Total","Brandon Guyer","CLE",251,0.087649402,0.199203187,0.44,0.242990654,0.344,0.401869158,0.745869158,0.158878504,0.283018867,32.09893412375394,2.1170345344537846,0.3285848546028137,101.39298650498108,2636
