Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Victor Martinez","DET",709,0.077574047,0.121297602,0.639534883,0.2515625,0.314527503,0.3609375,0.675465003,0.109375,0.270072992,70.31304399524663,-14.23905477072264,0.29316136940444687,80.43791076553389,393
"Total","CC Sabathia","NYY",7,0.142857142,0.571428571,0.25,0,0.142857142,0,0.142857142,0,0,-0.46268182801532093,-1.3279818277292186,0.09899915116173881,-43.94519810267723,404
"Total","Carlos Beltran","HOU",382,0.070680628,0.178010471,0.397058823,0.247126436,0.30104712,0.419540229,0.720587349,0.172413793,0.268382352,41.170530205035625,-5.395269672011913,0.3041633792162571,90.66101833984305,589
"Total","Ichiro Suzuki","2 Tms",206,0.067961165,0.155339805,0.4375,0.205263157,0.263414634,0.268421052,0.531835686,0.063157895,0.232258064,10.75089014355064,-14.204509697519534,0.23681072510924994,44.513557536660265,1101
"Total","Andrew Romine","2 Tms",366,0.06830601,0.204918032,0.333333333,0.218844984,0.282548476,0.310030395,0.592578871,0.091185411,0.272727272,26.73673635780738,-17.438663288355603,0.26257777990066444,59.61439447699279,1159
"Total","Sean Doolittle","WSN",2,0,0.5,0,0,0,0,0,0,0,-0.3012530568724847,-0.5530530575400567,0,-100,1581
"Total","Chase Utley","LAD",495,0.09090909,0.161616161,0.5625,0.234482758,0.321862348,0.374712643,0.696574991,0.140229885,0.269340974,53.75230430324526,-5.73819508145599,0.30469632100283617,89.97462695737352,1679
"Total","Jose Reyes","NYM",610,0.090163934,0.14262295,0.632183908,0.223034734,0.292561983,0.360146252,0.652708235,0.137111518,0.245575221,55.68999547320257,-17.74900383693327,0.28390557915959136,77.3367748039366,1736
"Total","Miguel Cabrera","DET",1,0,1,0,0,0,0,0,0,0,-0.13982742864230296,-0.25672742563822887,0,-100,1744
"Total","Joe Mauer","MIN",852,0.111502347,0.14084507,0.791666666,0.290279627,0.367802585,0.404793608,0.772596193,0.114513981,0.3312,114.49352491214822,12.63972626194308,0.3356474025676542,109.39990225084436,1857
"Total","Matt Moore","SFG",46,0.04347826,0.347826086,0.125,0.125,0.166666666,0.125,0.291666666,0,0.208333333,-1.5171720895656766,-7.124572074759882,0.1373650516782488,-21.508022691058283,1890
"Total","Andres Blanco","PHI",102,0.107843137,0.235294117,0.458333333,0.191011235,0.274509803,0.280898876,0.555408679,0.089887641,0.23076923,6.283528672641768,-6.150271294527994,0.24944840167082993,47.68163043454018,1907
"Total","Adrian Gonzalez","2 Tms",365,0.073972602,0.169863013,0.43548387,0.247734138,0.302197802,0.392749244,0.694947046,0.145015106,0.275471698,36.760045325749445,-6.918454119569734,0.2954224677549468,85.09309838186522,1908
"Total","Clayton Kershaw","LAD",128,0.0703125,0.2421875,0.29032258,0.153846153,0.221238938,0.182692307,0.403931245,0.028846154,0.219178082,1.031967566269331,-14.574232324105807,0.1885262601143491,11.316406714116143,2036
"Total","Jorge De La Rosa","ARI",3,0,0,0,0,0,0,0,0,0,-0.43763147327260604,-0.7983314696248018,0,-100,2047
