Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Bartolo Colon","3 Tms",20,0,0.55,0,0,0,0,0,0,0,-2.9598912589573336,-5.387891247155615,0,-100,375
"Total","Brandon Barnes","CLE",13,0.076923076,0.153846153,0.5,0.333333333,0.384615384,0.333333333,0.717948717,0,0.4,1.6147816263690773,0.09508166542204038,0.3236655776317303,99.76305656451396,629
"Total","Adrian Beltre","TEX",641,0.076443057,0.166926677,0.457943925,0.286458333,0.34477379,0.479166666,0.823940456,0.192708333,0.309050772,93.66646965373185,17.203570758587396,0.349866444702626,111.24972651799894,639
"Total","Todd Frazier","3 Tms",1137,0.108179419,0.218997361,0.493975903,0.226434426,0.327176781,0.407786885,0.734963666,0.181352459,0.256484149,138.05087957207138,-0.26241937603776544,0.31864483562516577,100.74192819043192,785
"Total","Brandon Phillips","3 Tms",490,0.036734693,0.122448979,0.3,0.279569892,0.314928425,0.421505376,0.736433801,0.141935484,0.302030456,57.76001146394398,-1.9009883407912016,0.31616196554375087,91.82093701005151,791
"Total","Bronson Arroyo","CIN",23,0,0.347826086,0,0.19047619,0.19047619,0.19047619,0.38095238,0,0.307692307,-0.18369239004571897,-2.987392382642822,0.1669845353989374,-8.394693211639446,978
"Total","Marco Estrada","TOR",4,0,0.75,0,0,0,0,0,0,0,-0.5956080892606062,-1.0832080879731458,0,-100,1118
"Total","Tommy Hunter","PHI",1,0,0,0,0,0,0,0,0,0,-0.13982742864230296,-0.25672742563822887,0,-100,1157
"Total","Albert Pujols","LAA",1223,0.057236304,0.130825838,0.4375,0.246696035,0.291905151,0.403524229,0.69542938,0.156828194,0.24893617,124.41098943448338,-24.258709407386434,0.2952675348343818,84.76156394642594,1177
"Total","R.A. Dickey","ATL",56,0,0.142857142,0,0.156862745,0.156862745,0.156862745,0.31372549,0,0.186046511,-1.8398267212828374,-8.666226703258392,0.13751667621088962,-26.54659562968207,1245
"Total","Jayson Werth","WSN",234,0.111111111,0.252136752,0.440677966,0.22330097,0.311965811,0.378640776,0.690606587,0.155339806,0.271428571,24.82063891190432,-3.7039610127792506,0.3021427782682272,80.51842425462479,1327
"Total","Wilson Ramos","3 Tms",862,0.069605568,0.1612529,0.431654676,0.275252525,0.327906976,0.421717171,0.749624147,0.146464646,0.303174603,106.16859817067306,0.9967989952317846,0.32034852051595497,102.16150163750328,1433
"Total","John Lackey","CHC",48,0.041666666,0.375,0.111111111,0.142857142,0.181818181,0.166666666,0.348484847,0.023809524,0.25,-0.7017189100112029,-6.552918894561679,0.1591250110756267,-10.996058876178877,1507
"Total","Jose Reyes","NYM",1,0,0,0,0,0,0,0,0,0,-0.13982742864230296,-0.25672742563822887,0,-100,1736
"Total","Jhonny Peralta","STL",33,0.09090909,0.151515151,0.6,0.266666666,0.333333333,0.266666666,0.599999999,0,0.32,2.759097463023609,-1.2636025263548436,0.27552523215611774,68.40493796109918,1738
"Total","Miguel Cabrera","DET",974,0.089322381,0.19301848,0.462765957,0.256586483,0.325462012,0.379152348,0.70461436,0.122565865,0.298953662,105.59221556175925,-14.290384090054257,0.3025717571888386,85.88755586906179,1744
"Total","Edwin Jackson","2 Tms",22,0,0.727272727,0,0.09090909,0.09090909,0.09090909,0.18181818,0,0.333333333,-1.801406344356213,-4.495206339242134,0.07969716462222012,-63.08079674847886,1841
"Total","Rickie Weeks Jr.","TBR",49,0.020408163,0.448979591,0.045454545,0.260869565,0.306122448,0.413043478,0.719165926,0.152173913,0.478260869,5.51687401725395,-0.4562259669746606,0.3098667872195341,94.7382245188781,1849
"Total","Matt Holliday","2 Tms",351,0.102564102,0.273504273,0.375,0.22077922,0.304843304,0.422077922,0.726921226,0.201298702,0.263681592,40.023807168851576,-2.6380926511185523,0.31166349669806975,91.75415353082646,1873
"Total","Jose Bautista","4 Tms",792,0.133838383,0.258838383,0.51707317,0.208333333,0.32070707,0.383928571,0.704635641,0.175595238,0.25,88.61348260232855,-6.596316426604501,0.3090992594821544,92.69578226799587,1887
"Total","Zack Greinke","2 Tms",133,0.030075187,0.240601503,0.125,0.186440677,0.219512195,0.279661016,0.499173211,0.093220339,0.247058823,4.727841840586726,-11.35985799739593,0.2165863615710561,26.189774417223518,1943
"Total","Ivan Nova","PIT",80,0,0.4875,0,0.013888888,0.013888888,0.013888888,0.027777776,0,0.03030303,-10.780952689020594,-20.337952558665236,0.012215704553657107,-98.24638794388349,1994
"Total","Edwin Encarnacion","3 Tms",1239,0.110573042,0.21630347,0.511194029,0.25442684,0.343295638,0.512581547,0.855877185,0.258154707,0.264507422,193.57708418488497,43.275985510349216,0.3600531779832439,124.4512885946276,2151
"Total","Ryan Raburn","WSN",41,0.073170731,0.414634146,0.176470588,0.315789473,0.365853658,0.605263157,0.971116815,0.289473684,0.526315789,7.829076107130824,2.831176120327292,0.4027277856338315,146.55035740072148,2218
"Total","Adam Wainwright","STL",94,0.021276595,0.329787234,0.064516129,0.217948717,0.234567901,0.346153846,0.580721747,0.128205129,0.326086956,5.798624164941311,-5.7819758061742785,0.24504889014326495,50.77013615884053,2233
"Total","Hector Rondon","CHC",1,0,0,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,2391
"Total","Corey Kluber","CLE",4,0,0.75,0,0,0,0,0,0,0,-0.5593097145692119,-1.0269097025529155,0,-100,2429
"Total","Darwin Barney","TOR",223,0.017937219,0.156950672,0.114285714,0.225352112,0.243119266,0.352112676,0.595231942,0.126760564,0.248554913,14.580923267245511,-12.602776660978575,0.25393016540676083,53.24962519509225,2430
"Total","Nelson Cruz","2 Tms",1275,0.080784313,0.231372549,0.349152542,0.288596491,0.356862745,0.555263157,0.912125902,0.266666666,0.319948186,223.14229297825034,68.30079426803525,0.38185007891250744,143.78642746357366,2434
"Total","Lance Lynn","2 Tms",25,0,0.44,0,0.130434782,0.130434782,0.173913043,0.304347825,0.043478261,0.25,-0.9450393936313919,-3.982539380220347,0.12980460602304209,-25.610601659952152,2520
"Total","Yonder Alonso","OAK",1,0,1,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,2530
"Total","Pete Kozma","3 Tms",82,0.036585365,0.329268292,0.111111111,0.175675675,0.225,0.27027027,0.49527027,0.094594595,0.255319148,3.0026996566045456,-6.723100172163232,0.21917285844683648,28.72655450928795,2539
"Total","Peter Bourjos","3 Tms",135,0.051851851,0.288888888,0.179487179,0.177419354,0.225563909,0.29032258,0.515886489,0.112903226,0.238095238,5.5979725170427415,-10.81352738556327,0.22467506290378428,36.35750450158048,2578
